element,second_name,total_points,goals_scored,assists,minutes,clean_sheets,goals_conceded
352,Skipp,4,0,0,57,0,1
442,Ndombele,44,2,2,938,1,16
509,Parrott,2,0,0,6,0,0
523,Lo Celso,25,0,0,867,3,11
524,Sessegnon,9,0,0,341,0,5
527,Nkoudou,1,0,0,2,0,0
543,Whiteman,0,0,0,0,0,0
555,Vorm,0,0,0,0,0,0
558,Austin,0,0,0,0,0,0
583,Tanganga,17,0,0,525,2,7
605,Carvalho Fernandes,4,0,0,40,0,0
615,Bergwijn,22,2,0,416,1,8
353,Holebas,16,0,0,1004,2,26
354,Kabasele,60,0,1,1575,7,19
355,Masina,48,1,0,1221,5,19
356,Mariappa,24,0,0,1226,3,25
357,Femenía Far,36,0,0,1524,4,29
358,Cathcart,76,0,0,2353,9,33
359,Janmaat,36,0,1,606,4,5
360,Navarro,0,0,0,0,0,0
361,Prödl,1,0,0,56,0,0
362,Deeney,70,6,2,1501,6,20
363,Deulofeu,88,4,5,2097,8,33
364,Gray,36,2,1,712,0,17
365,Success Ajayi,4,0,0,65,0,3
366,Foster,111,0,0,2610,9,44
367,Dahlberg,0,0,0,0,0,0
368,Doucouré,93,4,3,2443,9,42
369,Pereyra,51,3,0,1320,4,17
370,Hughes,50,1,1,1507,5,27
371,Cleverley,25,1,0,655,1,17
372,Sema,0,0,0,0,0,0
373,Capoue,62,0,3,2138,7,40
374,Chalobah,28,0,1,771,2,10
375,Quina,4,0,0,18,0,2
439,Dawson,37,0,0,1549,4,29
512,Welbeck,11,0,0,275,1,3
513,Gomes,0,0,0,0,0,0
525,Sarr,78,5,4,1221,6,16
542,Foulquier,1,0,0,57,0,6
563,Dele-Bashiru,0,0,0,0,0,0
592,Junqueira de Jesus,0,0,0,0,0,0
604,Pussetto,5,0,0,56,0,2
376,Cresswell,63,3,0,2023,4,40
377,Ogbonna,65,2,0,2160,6,36
378,Masuaku,25,0,1,908,2,18
379,Zabaleta,10,0,0,588,0,14
380,Fredericks,57,0,2,1686,6,30
381,Diop,54,3,0,1955,3,42
382,Balbuena,36,1,0,1081,3,22
383,Reid,0,0,0,0,0,0
384,Johnson,0,0,0,0,0,0
385,Arnautovic,0,0,0,0,0,0
386,Hernández Balcázar,9,1,0,106,0,4
387,Costa Silva,0,0,0,0,0,0
388,Fabianski,59,0,0,1307,4,22
389,Antonio,45,2,3,1028,2,19
390,Pereira Gomes,61,1,4,1405,6,26
391,Lanzini,45,0,3,1182,2,24
392,Yarmolenko,49,3,1,822,3,14
393,Snodgrass,87,5,5,1504,3,33
394,Wilshere,6,0,0,174,0,4
395,Rice,66,0,2,2610,6,50
396,Noble,84,4,2,2139,6,37
397,Sánchez,7,0,0,112,0,2
398,Diangana,0,0,0,0,0,0
399,Fornals,71,2,5,1457,4,26
400,Obiang,0,0,0,0,0,0
450,Jimenez Gago,18,0,0,686,0,17
457,Haller,97,7,3,2144,5,40
514,Ajeti,8,0,0,128,0,3
553,Martin,20,0,0,435,2,6
568,Holland,2,0,0,31,0,1
582,Anang,0,0,0,0,0,0
593,Ngakia,6,0,0,360,0,7
594,Soares Cardoso,0,0,0,0,0,0
595,Costa Da Rosa,0,0,0,0,0,0
606,Randolph,3,0,0,180,0,5
616,Soucek,6,0,0,229,0,6
626,Bowen,13,1,0,182,0,2
401,Doherty,117,4,5,2147,7,26
402,Castro Otto,74,1,2,2193,6,29
403,Coady,83,0,0,2610,8,34
405,Boly,60,0,1,1170,7,9
406,Silva Nascimento Vinagre,23,0,0,528,2,6
407,Saïss,73,2,2,1983,6,28
408,Kilman,5,0,0,184,0,2
409,Jiménez,147,13,6,2458,9,31
410,Jota,88,6,3,1758,7,24
411,dos Santos Patrício,116,0,0,2610,8,34
412,Ruddy,0,0,0,0,0,0
413,Norris,0,0,0,0,0,0
414,da Silva Neves,71,2,1,2275,8,29
415,Santos Moutinho,94,1,7,2434,7,32
416,Gibbs-White,8,0,1,122,0,2
417,Traoré,108,4,7,2068,4,30
418,Costa,0,0,0,0,0,0
419,Cavaleiro,0,0,0,0,0,0
420,Dendoncker,70,2,0,2279,7,29
473,Vallejo Lázaro,1,0,0,162,0,6
487,Cutrone,23,2,0,292,1,6
528,Lomba Neto,42,2,2,722,1,8
559,Ashley-Seal,0,0,0,0,0,0
560,Perry,0,0,0,0,0,0
566,Otasowie,0,0,0,0,0,0
567,Cundle,0,0,0,0,0,0
587,Buur,0,0,0,0,0,0
607,Giles,0,0,0,0,0,0
609,Cavaco Jordao,0,0,0,0,0,0
619,Castelo Podence,4,0,0,43,0,0
